id,exclude,type,query,text
3440931611,,,Alewife Brook Parkway,"No,' with Three Directional Arrows Stenciled on Asphalt, Sign for Rotary in Middle Distance, Alewife Brook Parkway"
3441744408,,,Broadway,"Slo' Stenciled on Asphalt, Broadway"
3365761050,,50ft_interval,Corner of Huntington Avenue and Blagden Street,"50 ft. Intervals, Approaching Corner of Huntington Avenue and Blagden Street, Facing Trinity Church and Copley Square"
3364974247,,50ft_interval,Corner of Huntington Avenue and Blagden Street,"50 ft. Intervals, Approaching Corner of Huntington Avenue and Blagden Street, Facing Trinity Church and Copley Square, Series in Snow"
3365836732,,50ft_interval,Corner of Huntington Avenue and Blagden Street,"50 ft. Intervals, Approaching Corner of Huntington Avenue and Blagden Street, Facing Trinity Church and Copley Square, Series in Snow"
3365689012,,50ft_interval,Corner of Huntington Avenue and Blagden Street,"50 ft. Intervals, Approaching Corner of Huntington Avenue and Blagden Street, Facing Trinity Church and Copley Square, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M."
3365761334,,50ft_interval,Corner of Huntington Avenue and Blagden Street,"50 ft. Intervals, Approaching Corner of Huntington Avenue and Exeter Street, Facing Northeast, Series in Snow, 1:00 P.M. to 2:30 P.M."
3364849813,,50ft_interval,Corner of Huntington Avenue and Blagden Street,"50 ft. Intervals, Approaching Corner of Huntington Avenue and Exeter Street, Facing Northeast, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M."
3364865499,,50ft_interval,"Approaching Corner of Huntington Avenue and Exeter Street, Facing Northeast, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M.","50 ft. Intervals, Approaching Corner of Huntington Avenue and Exeter Street, Facing Northeast, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M."
3471010385,,50ft_interval,"Back Alley, Berkeley to Arlington Streets, 11:00 A.M. to 1:00 P.M.","50 ft. Intervals, Back Alley, Berkeley to Arlington Streets, 11:00 A.M. to 1:00 P.M."
3468762299,,50ft_interval,"Back Alley, Berkeley to Arlington Streets, Facing Public Garden Through Traffic, 11:00 AM.-1:00 P.M.","50 ft. Intervals, Back Alley, Berkeley to Arlington Streets, Facing Public Garden Through Traffic, 11:00 AM.-1:00 P.M."
3468768957,,50ft_interval,"Back Alley, Berkeley to Arlington Streets, Facing Public Garden, Parked Cars at Right, 11:00 A.M.-1:00 P.M.","50 ft. Intervals, Back Alley, Berkeley to Arlington Streets, Facing Public Garden, Parked Cars at Right, 11:00 A.M.-1:00 P.M."
3468765211,,50ft_interval,"Back Alley, Berkeley to Arlington Streets, Facing Public Gardens, Pedestrians, 11:00 A.M.-1:00 P.M.","50 ft. Intervals, Back Alley, Berkeley to Arlington Streets, Facing Public Gardens, Pedestrians, 11:00 A.M.-1:00 P.M."
3469600046,,50ft_interval,"Back Alley, Berkeley to Arlington Streets, in Shadow, 11:00 A.M. to 1:00 P.M.","50 ft. Intervals, Back Alley, Berkeley to Arlington Streets, in Shadow, 11:00 A.M. to 1:00 P.M."
3469603964,,50ft_interval,"Back Alley, Berkeley to Arlington Streets, in Shadow, Man at Middle Distance, 11:00 A.M. to 1:00 P.M.","50 ft. intervals, Back Alley, Berkeley to Arlington Streets, in Shadow, Man at Middle Distance, 11:00 A.M. to 1:00 P.M."
3469613136,,50ft_interval,"Back Alley, Berkeley to Arlington Streets, in Shadow, Refuse and Boxes at Right, 11:00 A.M. to 1:00 P.M.","50 ft. Intervals, Back Alley, Berkeley to Arlington Streets, in Shadow, Refuse and Boxes at Right, 11:00 A.M. to 1:00 P.M."
3469597076,,50ft_interval,"Back Alley, Berkeley to Arlington Streets, in Shadow, Trash at Left, 11:00 A.M. to 1:00 P.M.","50 ft. intervals, Back Alley, Berkeley to Arlington Streets, in Shadow, Trash at Left, 11:00 A.M. to 1:00 P.M."
3468796677,,50ft_interval,"Back Alley, Berkeley to Arlington Streets, in Shadow, Two Men in Background, 11:00 A.M. to 1:00 P.M.","50 ft. Intervals, Back Alley, Berkeley to Arlington Streets, in Shadow, Two Men in Background, 11:00 A.M. to 1:00 P.M."
3469593192,,50ft_interval,"Back Alley, Berkeley to Arlington Streets, in Shadow,11:00 A.M. to 1:00 P.M.","50 ft. Intervals, Back Alley, Berkeley to Arlington Streets, in Shadow,11:00 A.M. to 1:00 P.M."
3471007009,,50ft_interval,"Back Alley, Berkeley to Arlington Streets, Looking Towards Public Garden, With Refuse and Boxes, 11:00 A.M. to 1:00 P.M.","50 ft. Intervals, Back Alley, Berkeley to Arlington Streets, Looking Towards Public Garden, With Refuse and Boxes, 11:00 A.M. to 1:00 P.M."
3468772193,,50ft_interval,"Back Alley, Berkeley to Arlington Streets, Melting Snow and Parked Cars, Facing Public Garden, 11:00 A.M. to 1:00 P.M.","50 ft. Intervals, Back Alley, Berkeley to Arlington Streets, Melting Snow and Parked Cars, Facing Public Garden, 11:00 A.M. to 1:00 P.M."
3469589730,,50ft_interval,"Back Alley, Berkeley to Arlington Streets, Melting Snow and Trash","50 ft. Intervals, Back Alley, Berkeley to Arlington Streets, Melting Snow and Trash"
3471862584,,50ft_interval,Corner of Berkeley and Boylston Streets,"50 ft. Intervals, Berkeley Street, Corner of Berkeley and Boylston Streets, MTA Entrance at Left"
3471865778,,50ft_interval,Corner of Berkeley and Boylston Streets,"50 ft. Intervals, Berkeley Street, Corner of Boylston and Berkeley Streets"
