id,exclude,type,query,text,query_result,heading,format0,lat0,lng0,format1,lat1,lng1,format2,lat2,lng2,format3,lat3,lng3,format4,lat4,lng4
3440931611,,,Alewife Brook Parkway,"No,' with Three Directional Arrows Stenciled on Asphalt, Sign for Rotary in Middle Distance, Alewife Brook Parkway",1,,"Alewife Brook Pkwy, Massachusetts, USA",42.4011153,-71.135841,,,,,,,,,,,,
3441744408,,,Broadway,"Slo' Stenciled on Asphalt, Broadway",1,,"Broadway, New York, NY, USA",41.1115472,-73.8583806,"Broadway, Colorado, USA",39.6812244,-104.9875179,"Broadway, Massachusetts, USA",42.4571719,-71.0239532,"Broadway, Oakland, CA, USA",37.8275902,-122.2565832,"Broadway, Nashville, TN, USA",36.1565833,-86.7874528
3365761050,,50ft_interval,Corner of Huntington Avenue and Blagden Street,"50 ft. Intervals, Approaching Corner of Huntington Avenue and Blagden Street, Facing Trinity Church and Copley Square",1,,"Huntington Ave & Blagden St, Boston, MA 02116, USA",42.349144,-71.0773257,,,,,,,,,,,,
3364974247,,50ft_interval,Corner of Huntington Avenue and Blagden Street,"50 ft. Intervals, Approaching Corner of Huntington Avenue and Blagden Street, Facing Trinity Church and Copley Square, Series in Snow",1,,"Huntington Ave & Blagden St, Boston, MA 02116, USA",42.349144,-71.0773257,,,,,,,,,,,,
3365836732,,50ft_interval,Corner of Huntington Avenue and Blagden Street,"50 ft. Intervals, Approaching Corner of Huntington Avenue and Blagden Street, Facing Trinity Church and Copley Square, Series in Snow",1,,"Huntington Ave & Blagden St, Boston, MA 02116, USA",42.349144,-71.0773257,,,,,,,,,,,,
3365689012,,50ft_interval,Corner of Huntington Avenue and Blagden Street,"50 ft. Intervals, Approaching Corner of Huntington Avenue and Blagden Street, Facing Trinity Church and Copley Square, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M.",1,,"Huntington Ave & Blagden St, Boston, MA 02116, USA",42.349144,-71.0773257,,,,,,,,,,,,
3365761334,,50ft_interval,Corner of Huntington Avenue and Blagden Street,"50 ft. Intervals, Approaching Corner of Huntington Avenue and Exeter Street, Facing Northeast, Series in Snow, 1:00 P.M. to 2:30 P.M.",1,,"Huntington Ave & Blagden St, Boston, MA 02116, USA",42.349144,-71.0773257,,,,,,,,,,,,
3364849813,,50ft_interval,Corner of Huntington Avenue and Blagden Street,"50 ft. Intervals, Approaching Corner of Huntington Avenue and Exeter Street, Facing Northeast, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M.",1,,"Huntington Ave & Blagden St, Boston, MA 02116, USA",42.349144,-71.0773257,,,,,,,,,,,,
3364865499,,50ft_interval,"Approaching Corner of Huntington Avenue and Exeter Street, Facing Northeast, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M.","50 ft. Intervals, Approaching Corner of Huntington Avenue and Exeter Street, Facing Northeast, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M.",0,,,,,,,,,,,,,,,,
3471010385,,50ft_interval,"Back Alley, Berkeley to Arlington Streets, 11:00 A.M. to 1:00 P.M.","50 ft. Intervals, Back Alley, Berkeley to Arlington Streets, 11:00 A.M. to 1:00 P.M.",0,,,,,,,,,,,,,,,,
